"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53"
"1",525.904556177227,468.809045779185,584.963084233879,322.027052019798,-76.2305344779956,311.857882845443,-352.551360222867,-15.3832568008023,-154.93459435637,387.628632168407,-199.981726313222,106.176386233346,127.275055147577,-100.281286143204,264.302953496078,32.2213895825731,-92.9545447621257,163.326703717773,-253.919567259667,-34.426157206729,48.520899694597,-211.879235372329,88.5144503077634,-54.4522716567514,327.057417866989,-135.504931382529,-109.313835288625,-36.6469203387812,148.498856148477,-167.262761719189,367.189941263861,107.947014131543,-134.548006397589,53.5206075960511,-294.014511004893,170.221300767855,-319.96138352472,189.820575028899,119.860378112258,-23.4038970647405,-176.748359429395,165.660256362932,182.030084256691,-5.76736003191267,-80.3679492107139,-136.29300559616,35.7556833403569,50.2331441542101,123.786781125049,197.817247436195,-78.6982468894034,119.261939839292,11.2879252199759
"2",525.714430126942,470.958724522225,587.50153292353,323.495085613384,-76.2264045311821,314.010713504853,-353.238627074146,-13.4605415776175,-157.779697123932,386.796406616768,-199.359217893831,106.178225481475,126.927543065993,-99.3630008666731,265.048479884509,32.1599515014195,-92.1347508260033,164.669029865543,-254.022675855759,-33.827288407662,49.4057784314584,-211.029193960172,88.2473258840582,-55.54065380485,329.171626777544,-137.067005305084,-111.283566199071,-35.0255891337731,150.958641223698,-171.590999265082,374.789274876462,108.609324278527,-134.922395941094,55.3291037423968,-295.551792173109,167.487579756998,-328.718223448271,191.42842062415,119.790181836967,-22.5660660620052,-179.695968920637,166.647196468974,183.320727552107,-4.60289821551518,-78.467799942859,-140.263056997159,37.4919600714792,50.1790514613001,125.659733235406,201.637137994982,-81.1594833336011,122.62131543742,13.0814362798792
"3",525.355116461207,467.733536245216,588.103142396693,323.367802559773,-70.8908752007211,309.78090403832,-350.262615820803,-17.4663922228175,-155.219611106704,381.565322545841,-206.295990845078,111.275091612027,134.209534588331,-100.395389929597,262.823483437551,32.9853756262274,-95.0822706883054,162.846880896316,-254.71297027368,-36.8623815392249,49.4422713902724,-214.066509231686,91.4561475793231,-54.0449912018999,326.148549526601,-134.744195338901,-111.726009925656,-38.2465599257489,157.932893694886,-168.246248873406,374.67231200007,110.948344022716,-137.614022017413,56.5402932515137,-295.211342052255,170.562999986224,-327.968982328576,193.374357082202,121.461240274411,-25.1159052648897,-183.033388944434,172.797029889871,190.833541892206,-2.41868730089073,-82.2047825900405,-142.966056296699,35.8655862713932,45.7768881792105,122.216846238682,196.798188933338,-77.9285875118106,118.225462953152,12.5861209980132
"4",524.287673826433,467.973813745148,587.209688182427,323.188067557734,-72.0207554006483,309.353741876796,-355.412600871381,-19.0361590851306,-158.282614425093,386.839492919773,-202.588004271476,112.067792661778,132.605976869588,-98.2524376335944,264.043746177719,35.2353641675677,-92.5789303642012,164.652337165694,-253.927090534031,-36.7358248086782,50.2379545527759,-212.771441589573,92.8071948257071,-55.9970126740509,330.397534458563,-134.603569682354,-110.228911015005,-33.9089783189166,154.028988238198,-176.054335471207,377.349911951988,109.048512897979,-139.592242806708,55.3765674694676,-297.953661374144,172.173204263399,-324.524440660983,195.11383245456,117.755604536387,-24.0706287933048,-178.912530309632,168.635612647516,187.518373801729,-6.08422896524479,-84.3444071728842,-138.476608881576,34.8433775158046,48.4451787848053,122.78484933023,196.08384924777,-77.7819777929482,118.565932616829,13.6633029801778
"5",526.094215006955,470.442103872166,581.614283944484,320.123739754794,-73.1263013694955,310.503903766525,-353.538494317003,-19.4959663198964,-156.792822436648,386.888445300656,-202.511859148388,106.869681948284,129.72716761201,-98.6465673782491,265.539551603417,32.6935687990202,-93.2366781338059,162.59386864173,-252.021986387668,-36.7940881059387,48.828679843725,-211.458571645138,90.4273659679005,-55.1916426567798,326.220373035679,-135.456623814914,-107.954123867648,-35.7683344792287,150.332832853021,-173.75582653112,367.548453472292,106.980695319808,-134.043006473121,54.184560368848,-297.496586176434,172.343335351015,-329.572191769475,193.022862779005,119.677199830506,-23.2348505503523,-178.450714380603,170.288728278781,182.648797085755,-4.38751156793252,-81.8496925347326,-139.186451283629,35.6221199424671,47.6061651736237,123.584435153349,200.235948972343,-80.2248387919543,121.794104268855,12.7601162460496
"6",526.686736908907,468.618064951436,584.638708216016,321.484237730836,-68.2129409793887,308.652769822612,-350.416005578665,-19.5750682273229,-154.166737419513,383.022046008959,-204.989464019559,111.481416624668,133.066143842429,-98.5646012815727,262.05142548617,32.9693731096233,-94.1273060485605,161.918732630992,-253.470252939889,-36.5713884298759,51.7331946400553,-214.251149604357,93.6781976603007,-54.9689172541566,326.497300837557,-136.780105982039,-110.9801098787,-38.7835582470657,154.963375074488,-172.733391731509,374.04346210871,109.630683850758,-136.87817508124,54.6656299690173,-294.783236366797,172.194926124365,-326.215708801558,190.520973398894,125.673990454277,-24.0539635879836,-179.960386168921,172.135847230007,186.356440081229,-3.0431517750587,-80.2338760292938,-139.122900614404,37.3509254530268,46.4585037579306,124.190670623966,198.074491511643,-78.4031789721013,119.7487971429,13.9616933387356
"7",526.40011638372,470.420012399469,585.483493454084,322.017663689033,-71.9244871816735,309.207187364108,-351.562608362017,-16.5191247869519,-157.265502012384,382.767943019866,-203.364762301311,110.138265035915,131.840117100636,-97.9689857364113,263.889389402067,33.4355634939742,-92.9409432258148,163.855284007139,-253.604431676361,-35.7478630555186,51.8315001565951,-211.421494025284,91.662684436832,-55.753577247863,325.639268630928,-135.177175686599,-112.256177296668,-36.695106739165,155.245417291709,-171.176284148345,374.981163951115,112.306213893557,-137.486693037375,56.4822842597192,-296.914112892305,169.95903192914,-325.966538494415,195.510245951313,122.330458956682,-23.2195203045242,-182.983193861825,171.029249572517,185.845104105426,-4.31371294979116,-79.0667300476018,-144.67094170993,39.1781270695857,45.1513272415424,124.806564440367,196.339328280828,-77.3292070980732,118.31009240395,13.4010497172791
"8",527.66652395427,469.335511955957,579.49998362009,318.875955754424,-70.9311293515745,316.340415258139,-349.534286125645,-18.6102595850734,-155.282439500213,381.709076526485,-203.162726441025,105.722104828613,132.10101106403,-96.5089772049317,263.123112676857,32.014577178562,-94.1923577277895,159.337699745976,-250.714439233654,-36.4754416609709,50.0834909380404,-212.007389735316,93.5278455424538,-56.7095022960797,326.591021910087,-136.904117355364,-111.390490938144,-36.4595760054351,155.412325051369,-175.099537713682,371.05833148977,105.689664334114,-132.333371531232,52.3861405105039,-297.202497356417,172.770695820949,-323.602474725866,187.519713652719,120.8142371656,-23.0232981464792,-177.806798251641,169.657106061541,182.741305506248,-4.58063118815581,-74.8851344824328,-140.286649238329,38.5851548190151,46.6692828549424,125.612557792657,198.607288210205,-80.1657626405919,122.57951268225,14.0765177997736
"9",524.270684936156,467.925598191555,579.318292410527,318.918315988858,-71.4007961286205,308.434658445546,-350.870979812485,-23.0795678185135,-155.329377683831,383.459283047437,-202.008166345353,109.803676020932,132.899849569804,-98.1387904661217,262.072961079314,33.5488583080284,-95.3028155786608,161.572363007711,-251.741472853442,-37.102077293581,50.6008723792871,-210.82516301342,91.520714916164,-56.0224043523622,327.640038845576,-136.867051569871,-110.521351318998,-37.8791018934701,152.139524656476,-173.630579306957,373.678680374019,109.355355630203,-135.470393870573,55.3836726287202,-296.603680774675,170.313774088082,-324.507415281259,194.138846439652,121.407292518907,-22.338734977258,-178.768375081388,167.33865475721,180.61146554608,-6.29793780393726,-84.9468676570089,-138.401962228208,36.8342637855524,48.362516382598,123.940372268876,198.776373326235,-78.9198029988336,120.340225938055,13.612270670376
"10",524.858601161002,469.683712810505,585.251343442491,322.082443128221,-76.121319496716,309.712867530106,-349.978685444525,-19.4334960895522,-151.889483370656,385.302936781909,-202.569296235807,107.113314315406,128.533971318025,-97.8717504781893,262.116269564207,34.5292127436421,-94.3358877708108,163.033580612937,-252.649482709654,-37.032219403417,52.8887628947645,-211.527911940483,89.8941171603788,-54.2721624995233,325.87852013073,-137.835286591169,-110.069825171337,-39.6888587667179,150.047423308863,-169.91731460889,372.977838517868,111.507436452478,-136.931322690401,55.3693933079437,-293.134367448657,170.182069101788,-323.827475948569,194.163660441187,123.025607175465,-24.525153994698,-179.950021931741,168.091049520484,187.056997205294,-5.32329572503014,-80.4494538600084,-137.943962103855,37.2937054111947,48.6612542372212,124.88558332417,196.630248407647,-77.1181842218591,117.489121155407,13.5617820133788
